time_s,force_N
33.922000,0.070400
34.016000,0.070300
34.125000,0.069400
34.219000,0.069600
34.313000,0.071000
34.422000,0.070000
34.516000,0.069600
34.610000,0.069300
34.719000,0.070000
34.813000,0.069500
34.922000,0.070300
35.016000,0.070200
35.125000,0.069600
35.219000,0.070300
35.313000,0.069700
35.422000,0.071100
35.516000,0.070300
35.625000,0.070800
35.719000,0.070500
35.828000,0.070200
35.922000,0.070000
36.031000,0.070000
36.125000,0.070700
36.219000,0.070100
36.328000,0.069500
36.422000,0.069700
36.531000,0.069500
36.625000,0.068400
36.735000,0.069000
36.813000,0.069200
36.922000,0.069400
37.031000,0.069500
37.125000,0.068700
37.219000,0.068600
37.328000,0.068600
37.438000,0.069300
37.531000,0.069600
37.625000,0.069400
37.735000,0.069900
37.828000,0.069600
37.922000,0.070500
38.016000,0.070300
38.125000,0.070600
38.219000,0.070600
38.328000,0.070700
38.422000,0.070100
38.531000,0.071200
38.625000,0.070400
38.735000,0.070900
38.828000,0.071000
38.938000,0.070800
39.031000,0.071100
39.141000,0.071300
39.219000,0.070400
39.328000,0.070100
39.422000,0.070100
39.531000,0.071000
39.625000,0.070800
39.735000,0.071200
39.828000,0.070200
39.938000,0.070100
40.031000,0.070500
40.125000,0.070800
40.235000,0.071400
40.328000,0.071500
40.438000,0.071900
40.531000,0.071400
40.641000,0.071700
40.735000,0.070900
40.844000,0.071300
40.938000,0.071700
41.031000,0.072000
41.141000,0.073000
41.235000,0.073100
41.328000,0.073800
41.438000,0.073400
41.531000,0.074100
41.641000,0.073900
41.735000,0.073800
41.828000,0.073500
41.938000,0.073400
42.047000,0.073600
42.141000,0.072900
42.235000,0.073600
42.344000,0.073100
42.438000,0.072900
42.531000,0.072800
42.641000,0.073100
42.750000,0.072800
42.828000,0.073000
42.938000,0.072900
43.031000,0.072100
43.141000,0.072300
43.250000,0.088300
43.344000,0.115800
43.438000,0.055500
43.547000,0.056700
43.641000,0.058700
43.735000,0.058400
43.844000,0.059500
43.938000,0.059800
44.047000,0.061200
44.141000,0.061800
44.235000,0.062000
44.344000,0.062100
44.453000,0.062900
44.547000,0.062700
44.641000,0.063400
44.750000,0.064200
44.844000,0.064100
44.953000,0.065000
45.047000,0.065000
45.141000,0.065300
45.235000,0.065700
45.344000,0.066500
45.438000,0.066400
45.547000,0.067600
45.641000,0.068100
45.750000,0.068000
45.844000,0.067800
45.953000,0.067500
46.047000,0.068300
46.156000,0.069000
46.250000,0.069100
46.360000,0.069100
46.453000,0.069800
46.547000,0.069500
46.656000,0.069600
46.750000,0.069900
46.860000,0.069300
46.953000,0.069600
47.047000,0.070000
47.141000,0.069000
47.250000,0.070200
47.344000,0.069700
47.453000,0.068800
47.547000,0.069200
47.656000,0.070600
47.750000,0.070200
47.860000,0.070700
47.953000,0.070300
48.063000,0.070900
48.156000,0.070200
48.250000,0.070000
48.344000,0.071300
48.453000,0.071500
48.547000,0.070900
48.656000,0.071100
48.750000,0.071400
48.860000,0.072000
48.953000,0.072000
49.047000,0.072500
49.156000,0.072600
49.250000,0.072800
49.360000,0.073200
49.453000,0.072500
49.563000,0.073200
49.656000,0.074300
49.750000,0.074000
49.860000,0.073900
49.953000,0.074900
50.063000,0.075000
50.156000,0.074600
50.250000,0.075100
50.360000,0.074900
50.469000,0.075200
50.563000,0.074800
50.656000,0.075400
50.766000,0.075400
50.860000,0.075700
50.969000,0.075500
51.063000,0.075500
51.172000,0.074700
51.250000,0.075800
51.360000,0.076300
51.453000,0.076400
51.563000,0.075600
51.656000,0.075400
51.766000,0.075200
51.860000,0.076100
51.969000,0.076500
52.063000,0.076300
52.172000,0.076500
52.266000,0.076900
52.360000,0.077800
52.469000,0.077600
52.563000,0.077600
52.672000,0.076900
52.766000,0.077600
52.860000,0.078400
52.969000,0.079000
53.063000,0.078200
53.156000,0.078800
53.266000,0.079200
53.360000,0.079100
53.469000,0.078600
53.563000,0.077700
53.672000,0.079300
53.766000,0.078400
53.875000,0.078200
53.969000,0.078900
54.063000,0.079400
54.172000,0.080700
54.266000,0.080600
54.375000,0.081300
54.469000,0.080300
54.578000,0.081300
54.672000,0.080700
54.766000,0.080200
54.860000,0.080400
54.969000,0.080500
55.063000,0.079700
55.172000,0.080100
55.281000,0.079900
55.375000,0.080800
55.469000,0.080300
55.563000,0.080100
55.672000,0.079800
55.781000,0.081200
55.875000,0.080800
55.969000,0.081500
56.078000,0.081600
56.172000,0.081900
56.281000,0.082800
56.375000,0.082800
56.469000,0.081600
56.578000,0.081400
56.672000,0.081200
56.766000,0.081300
56.875000,0.082300
